,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,ballTimestamp,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,currentInning.team.name,currentInning.team.shortName,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
24,210,1,0,0,"Malinga to Sehwag, no run","not a four. Short of a length outside off, Sehwag stays behind the line and punches into the covers","<p>Right, not much of a break. The players are out there. Sehwag is ready, Sachin's with him. The fielders are in position. Can Sehwag hit a first-ball four again? India need a lot of those. Won't be easy against Malinga. This is Nitin Sundar to start off commentary for the chase.</p><p>Swamy: ""India's strategy has now been inverted thanks to that brilliant knock from Mahela.  What happens in the first 15 overs will now dictate whether India win.  Anything less than 100+ for no loss or 1 wicket means its SL's game.""</p><p>Mazher: ""Mahela Jaywardene has never scored a century in losing cause, his all 13 centuries - before today - were match winning"" Not sure if true, but if it is, that's a staggering stat ...</p><p>Calvin: ""I certainly don't see India getting these runs ,to win the world cup.As we can see there is some bounce in the wicket, which plays right into the hands of the Sri lankan's, bowlers."" Debatable, Calvin. As far as I know, Sri Lanka's bowlers prefer slow and low pitches, not ones with good carry and little turn (which is how it has been so far). Plus, this is a small outfield. But, in a World Cup final, 274 is a mountain.</p><p>Guru: ""I know this is far-fetched, but think of it - Sachin getting his 100th 100 and winning the title for India, chasing a big total in a high-pressure final.  How better can things get?"" Well, so far this World Cup, India have managed to give their fans everything they wanted. This seems like the steepest demand of all, but who am I to bet against them pulling it off ...</p><p>Sivabhaskar: ""I've already started getting nightmares of a rain of in-swinging-yorkers -- Malinga !"" and ""A wicked kind of a compensation. Zaheer leaked at death what he contained at the birth.""</p><p><b>6:50pm IST</b> Thanks Abhishek. Boy, that was some innings from Mahela! <i>The</i> innings of the World Cup, possibly challenged only by KOB's blitz against England. Gilchrist and Ponting played classics in 2007 and 2003 finals... how good was this in comparison?</p>",,FALSE,FALSE,FALSE,FALSE,"[{'id': '35263', 'name': 'Virender Sehwag', 'runs': 0, 'balls': 1}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 0.1, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",0,85915,1,0,0,India,IND,,,,,,,,,,,,,,,,,,,
23,220,2,0,0,"Malinga to Sehwag, OUT","<b>Given out lbw, and immediately reviewed.</b> Looks like a goner on replay! Back of a length delivery on middle stump, Sehwag was rising on the toes on leg stump line as it skidded through. He was on the hop as he closed the face and looked to flick. Misses the shot. Was there an inside edge? No evidence of that. Was that high? Not really - hit him under the roll. It's hitting middle. Three reds. Superb start for Sri Lanka! Sehwag top-scored for India in the 2003 final. Fair to say, he won't be the top scorer today.",<p>Two slips in place.</p>,,FALSE,FALSE,FALSE,FALSE,"[{'id': '35263', 'name': 'Virender Sehwag', 'runs': 0, 'balls': 2}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 0.2, 'maidens': 0, 'runs': 0, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",0,85915,2,0,1,India,IND,,,,,,,,,,,,,,35263,Virender Sehwag,Lasith Malinga,0,2,V Sehwag lbw b Malinga 0 (2m 2b 0x4 0x6) SR: 0.00
22,230,3,0,4,"Malinga to Gambhir, FOUR","Malinga smiles. Misfield at square leg. Fast and back of a length on leg stump, Gambhir calmly turns it away off the pads to the leg side, and the fielder at square leg dived over it.",<p>Gambhir walks out. Sachin maintains a zen-like focus at the non-striker's end. </p><p>Leg gully in place.</p>,,FALSE,FALSE,FALSE,TRUE,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 1}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 0.3, 'maidens': 0, 'runs': 4, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",0,85915,3,4,1,India,IND,,,,,,,,,,,,,,,,,,,
21,240,4,0,0,"Malinga to Gambhir, no run","oho, inside edge. Malinga gets one to curl in a touch from a length as Gambhir goes for a huge booming off-drive. Lucky to get some bat on it, onto the pad.","<p>Now, there are two men on square on the leg side. One catcher, another near the umpire.</p>",,FALSE,FALSE,FALSE,FALSE,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 2}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 0.4, 'maidens': 0, 'runs': 4, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",0,85915,4,4,1,India,IND,,,,,,,,,,,,,,,,,,,
20,250,5,0,0,"Malinga to Gambhir, no run","good looking shot for no run, Gambhir leans into a cover drive and gets it to race into the covers where Dilshan prowls and pounces on it,",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 3}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 0.5, 'maidens': 0, 'runs': 4, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",0,85915,5,4,1,India,IND,,,,,,,,,,,,,,,,,,,
19,260,6,0,0,"Malinga to Gambhir, no run","the bouncer. It was a-coming with this field in place. Gambhir tries to ride the bounce, but is not entirely over it as he fends to the leg side.",,"<p>Growler: 'Interesting stats. The team batting 2nd has only won 2 of 8 finals. The highest 2nd innings total in a final is 274 (Aus v. WI in 1975 off 60 overs). Aus lost. Statistically not looking good for India""</p>",FALSE,FALSE,FALSE,FALSE,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 4}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 1, 'maidens': 0, 'runs': 4, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",0,85915,6,4,1,India,IND,FALSE,4,1,4,1,4,5.53,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 4}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 0, 'balls': 0}]","[{'id': '49758', 'name': 'Lasith Malinga', 'overs': 1, 'maidens': 0, 'runs': 4, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]",IND,49,294,271,,,,,,
18,21010,1,1,1,"Kulasekara to Tendulkar, 1 run","The master is away. Back of a length on off stump, he stands tall and guides backward of point. Another master fields it running square from third man. Sachin v Murali could decide the 2011 World Cup. Or not.",<p>Kulasekara comes on. Look out for the big swerving inducker. One slip in place.</p>,,FALSE,FALSE,FALSE,FALSE,"[{'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 1, 'balls': 1}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 4}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 0.1, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '49758', 'name': 'Lasith Malinga', 'overs': 1, 'maidens': 0, 'runs': 4, 'wickets': 1}]",0,85915,7,5,1,India,IND,,,,,,,,,,,,,,,,,,,
17,21020,2,1,0,"Kulasekara to Gambhir, no run","hmm, Gambhir is dealing in inside edges for now. Kula gets one to come in seemingly innocuously from a length around off stump as Gambhir presses into a drive. Edged to the leg wide.",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 5}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 1, 'balls': 1}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 0.2, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '49758', 'name': 'Lasith Malinga', 'overs': 1, 'maidens': 0, 'runs': 4, 'wickets': 1}]",0,85915,8,5,1,India,IND,,,,,,,,,,,,,,,,,,,
16,21030,3,1,1,"Kulasekara to Gambhir, 1 leg bye","again a touch of inward nip, Gambhir looks to glance but can't get bat on it. Leg bye to the leg side.",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 6}, {'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 1, 'balls': 1}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 0.3, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '49758', 'name': 'Lasith Malinga', 'overs': 1, 'maidens': 0, 'runs': 4, 'wickets': 1}]",0,85915,9,6,1,India,IND,,,,,,,,,,,,,,,,,,,
15,21040,4,1,0,"Kulasekara to Tendulkar, no run","angling into the pads, Sachin flicks firmly but straight to midwicket. Quick throw hits the stumps at the bowler's end, but Gambhir is back in.",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '35320', 'name': 'Sachin Tendulkar', 'runs': 1, 'balls': 2}, {'id': '28763', 'name': 'Gautam Gambhir', 'runs': 4, 'balls': 6}]","[{'id': '49535', 'name': 'Nuwan Kulasekara', 'overs': 0.4, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '49758', 'name': 'Lasith Malinga', 'overs': 1, 'maidens': 0, 'runs': 4, 'wickets': 1}]",0,85915,10,6,1,India,IND,,,,,,,,,,,,,,,,,,,
